,title,without_stopwords,date,source,numPunct,numWords,isCap,class
0,Proof The Mainstream Media Is Manipulating The Election By Taking Bill Clinton Out Of Context,proof mainstream media manipulating election taking bill clinton context,9/19/2016,Buzzfeed,0,9,True,Fake
1,Trump Latest Campaign Promise May Be His Most Horrible One Yet,trump latest campaign promise may horrible one yet,9/19/2016,Buzzfeed,0,8,True,Fake
2,Obama Pushes One World Government,obama pushes one world government,9/20/2016,Buzzfeed,0,5,True,Fake
3,WHOA! NEW DISTURBING VIDEO Shows HILLARY'S Campaign Likely FAKED Her Audience At NC Rally * 100percentfedUp.com,whoa! new disturbing video shows hillary's campaign likely faked audience nc rally * 100percentfedup.com,9/19/2016,Buzzfeed,4,14,False,Fake
4,Is it the Beginning of the End for Hillary Clinton? ‚Eagle Rising,beginning end hillary clinton? ‚eagle rising,9/21/2016,Buzzfeed,1,6,False,Fake
5,Californians Had Special Way to View the Eclipse‚ Now Hospitals Are Filling up,californians special way view eclipse‚ hospitals filling,,Buzzfeed,0,7,False,Fake
6,Obama Just DISGRACED The U.S. By Surrendering To ISIS In Front Of Entire U.N. ą  US Herald,obama disgraced u.s. surrendering isis front entire u.n. ą us herald,9/20/2016,Buzzfeed,4,11,False,Fake
7,Declassified Docs Show That Obama Admin Created ISIS In 2012 To Use As A 'Tool' ą  US Herald,declassified docs show obama admin created isis 2012 use 'tool' ą us herald,5/26/2015,Buzzfeed,2,13,False,Fake
8,BREAKING: Did Hillary Clinton Have a Nervous Breakdown?,breaking: hillary clinton nervous breakdown?,9/21/2016,Buzzfeed,2,5,False,Fake
9,Hillary Denies She and Obama Founded ISIS‚Then This Video Shows Up,hillary denies obama founded isis‚then video shows,,Buzzfeed,0,7,False,Fake
10,Trump Just Made A Campaign Promise So Ridiculous It Makes ‚Read My Lips Look Good ‚ą Opposition Report,trump made campaign promise ridiculous makes ‚read lips look good ‚ą opposition report,,Buzzfeed,0,13,False,Fake
11,Top Army Chief of Staff General Has Had It With Obama Incompetence ą  US Herald,top army chief staff general obama incompetence ą us herald,4/22/2015,Buzzfeed,0,10,False,Fake
12,Congress MUST Act! Five Days Until Obama's Internet Giveaway [Video],congress must act! five days obama's internet giveaway [video],9/25/2016,Buzzfeed,4,9,False,Fake
13,Clemson BANS Memes Featuring Dead Gorilla Harambe‚Promotes ‚Rape Culture‚ť and ‚Racism‚ť ‚Eagle Rising,clemson bans memes featuring dead gorilla harambe‚promotes ‚rape culture‚ť ‚racism‚ť ‚eagle rising,9/26/2016,Buzzfeed,0,12,False,Fake
14,How Democrats are Going to Try to STEAL the Election for Hillary ‚Eagle Rising,democrats going try steal election hillary ‚eagle rising,9/26/2016,Buzzfeed,0,8,False,Fake
